ticker,description_en,description_ko,exchange,industry_en,industry_ko,close,volume,market_cap,perf_3m,perf_6m,perf_9m_interp,perf_12m,rs_raw,rs_rating,eps_raw,eps_rating
217320,"SUNTECH Co., Ltd. (Seoul)",썬테크,KRX,Electrical products,전기 제품,11000,1,11550000000.0,5.871029836381136,59.42028985507246,656.2169099951869,1253.0135301353014,396.0785579316646,99,,
159010,"ASFLOW CO.,LTD",아스플로,KRX,Industrial machinery,산업용 기계,22500,20152,284991627932.0,11.940298507462687,295.4305799648506,381.4479507642664,467.4653215636822,233.64488986154493,99,,
010170,"Taihan Fiberoptics Co., Ltd",대한광통신,KRX,Electrical products,전기 제품,17855,4525940,2848497231445.0,25.562587904360058,94.2872687704026,570.1855271938405,1046.0837856172784,352.3363514780483,99,,
043260,Sungho Electronics Corp.,성호전자,KRX,Electronic components,전자 부품,27600,2841368,2022109603882.0,-12.241653418124006,-43.09278350515464,1209.790655601183,2462.674094707521,720.9777319934603,99,,
009150,"Samsung Electro-Mechanics Co., Ltd",삼성전기보통주,KRX,Semiconductors,세미컨덕터,1528000,236057,102354161300182.0,-22.828282828282827,239.17869034406215,454.8641812789398,670.5496722138174,263.7871956360508,99,93.96649388818207,80.0
002990,"KUMHO Engineering & Construction Co., Ltd.",금호건설보통주,KRX,Automotive aftermarket,자동차 애프터마켓,13530,924990,482931266022.0,250.9727626459144,160.19230769230768,202.01483237220214,243.83735705209656,221.59800448168707,99,,
327260,"RF Materials Co., Ltd.",알에프머트리얼즈,KRX,Industrial conglomerates,산업 복합 기업,47500,272636,862236014557.0,72.72727272727273,38.803147100410584,332.8845922923784,626.9660374843462,228.82166446633613,99,,
017900,AUK CORP.,광전자보통주,KRX,Semiconductors,세미컨덕터,10290,1647457,529826775208.0,39.620081411126186,179.6195652173913,308.61856003816274,437.61755485893417,201.01916858734813,99,,
386380,Sky Labs Inc.,Sky Labs Inc.,KRX,Medical specialties,의학 전문 분야,25400,2139273,364732818146.0,200.0,200.0,200.0,200.0,200.0,99,,
036930,"Jusung Engineering Co., Ltd",주성엔지니어링,KRX,Industrial machinery,산업용 기계,206500,203817,9228331581116.0,12.106406080347448,179.4316644113667,359.37527493014153,539.3188854489164,220.4677273902239,99,-36.103397341112014,29.0
032580,"Fidelix Co., Ltd",피델릭스,KRX,Semiconductors,세미컨덕터,6810,386748,191401225967.0,3.02571860816944,483.54755784061695,451.6974430424459,419.8473282442748,272.2287532687353,99,,
000500,"Gaon Cable Co., Ltd.",가온전선보통주,KRX,Electrical products,전기 제품,347500,170441,9737277477264.0,90.41080657546432,457.48618502709485,702.6120201520737,947.7378552770525,457.73153472142997,99,36.46604928314931,64.0
351320,Nexa Dynamics Co. Ltd.,넥사다이내믹스,KRX,Semiconductors,세미컨덕터,3725,19193,116269357424.0,229.3545534924845,179.02621722846442,163.59705265154065,148.1678880746169,189.9000529879182,99,17.099348395354284,54.0
015590,"DKME Co., Ltd.",디케이엠이보통주,KRX,Industrial machinery,산업용 기계,2245,5743,117204889660.0,12.531328320802006,356.3008130081301,356.3008130081301,356.3008130081301,218.79301913319887,99,-436.80194309631867,7.0
402340,"SK Square Co., Ltd.",SK스퀘어보통주,KRX,Financial conglomerates,금융지주회사,1163000,100798,142041749084473.0,-38.30238726790451,96.45270270270271,267.4393143143143,438.4259259259259,145.1426336814268,98,,
126640,"Hwashin Precision Co., Ltd",화신정공,KRX,Auto parts: OEM,자동차 부품: OEM,3970,144657,136638633156.0,-10.180995475113122,163.43729263437294,185.00049959903976,206.56370656370657,106.9279015693786,98,189.7884505566032,88.0
079650,Seosan Corporation,서산,KRX,Construction materials,건축 자재,5940,178286,127400000000.0,-20.053835800807537,301.35135135135135,281.88372936695083,262.4161073825503,161.1087032998475,98,-28.746422836519987,32.0
024840,"KBI METAL Co., Ltd.",케이비아이메탈,KRX,Electrical products,전기 제품,6990,3716318,280930751801.0,59.22551252847381,219.90846681922196,237.8168288294583,255.72519083969465,166.38030230906452,98,,
222800,"Simmtech Co., Ltd.",심텍,KRX,Semiconductors,세미컨덕터,149500,655986,4772321355057.0,20.75928917609047,143.48534201954396,242.24414593602566,341.00294985250736,153.65020323205158,98,,
417840,Justem Co. Ltd.,저스템,KRX,Homebuilding,홈빌딩,15880,272433,336371582642.0,29.10569105691057,125.2482269503546,189.3305216355914,253.41281632082817,125.24058940411906,98,,
003010,Hae In Corp.,혜인보통주,KRX,Wholesale distributors,도매 유통업체,10530,101132,113502295532.0,149.8220640569395,89.72972972972973,90.41840388482856,91.1070780399274,114.17986795367295,98,79.23174852045534,77.0
064290,"INTEKPLUS Co., Ltd.",인텍플러스,KRX,Electronic equipment/Instruments,전자 장비/기기,55700,308565,605766757727.0,36.68711656441718,216.65719158612848,205.76109976341894,194.86500794070938,138.13150648381824,98,-316.96081403593604,9.0
098120,"Micro Contact Solution Co., Ltd.",(주)마이크로컨텍솔루션,KRX,Electronic production equipment,전자 생산 장비,58500,21009,444732985020.0,137.32251521298176,108.92857142857143,150.71428571428572,192.5,145.35757751376414,98,254.77974367875342,90.0
131290,"TSE Co., Ltd",티에스이,KRX,Semiconductors,세미컨덕터,263500,20904,2620881262779.0,8.436213991769547,122.92724196277496,285.94278764805415,448.9583333333333,174.94015818554033,98,413.4197155258412,93.0
006340,"Daewon Cable Co., Ltd.",대원전선보통주,KRX,Electrical products,전기 제품,14420,3656312,1115938653281.0,36.294896030245745,144.40677966101694,263.74442835647164,383.0820770519263,172.76461542598128,98,1.8536420975995074,46.0
